order_id,product_id,unit_price,quantity,discount,gross_sales,discount_value,net_sales,customer_id,employee_id,order_date,required_date,shipped_date,ship_via,freight,ship_country,productID,productName,categoryID,unitPrice,discontinued,category_id,category_name,delivery_days,on_time,year,month
10248,11,14.0,12,0.0,168.0,0.0,168.0,VINET,5,1996-07-04,1996-08-01,1996-07-16,3,32.38,France,11,Queso Cabrales,4,21.0,0,4,Dairy Products,12.0,True,1996,1996-07
10248,42,9.8,10,0.0,98.0,0.0,98.0,VINET,5,1996-07-04,1996-08-01,1996-07-16,3,32.38,France,42,Singaporean Hokkien Fried Mee,5,14.0,1,5,Grains/Cereals,12.0,True,1996,1996-07
10248,72,34.8,5,0.0,174.0,0.0,174.0,VINET,5,1996-07-04,1996-08-01,1996-07-16,3,32.38,France,72,Mozzarella di Giovanni,4,34.8,0,4,Dairy Products,12.0,True,1996,1996-07
10249,14,18.6,9,0.0,167.4,0.0,167.4,TOMSP,6,1996-07-05,1996-08-16,1996-07-10,1,11.61,Germany,14,Tofu,7,23.25,0,7,Produce,5.0,True,1996,1996-07
10249,51,42.4,40,0.0,1696.0,0.0,1696.0,TOMSP,6,1996-07-05,1996-08-16,1996-07-10,1,11.61,Germany,51,Manjimup Dried Apples,7,53.0,0,7,Produce,5.0,True,1996,1996-07
10250,41,7.7,10,0.0,77.0,0.0,77.0,HANAR,4,1996-07-08,1996-08-05,1996-07-12,2,65.83,Brazil,41,Jack's New England Clam Chowder,8,9.65,0,8,Seafood,4.0,True,1996,1996-07
10250,51,42.4,35,0.15,1484.0,222.6,1261.4,HANAR,4,1996-07-08,1996-08-05,1996-07-12,2,65.83,Brazil,51,Manjimup Dried Apples,7,53.0,0,7,Produce,4.0,True,1996,1996-07
10250,65,16.8,15,0.15,252.0,37.8,214.2,HANAR,4,1996-07-08,1996-08-05,1996-07-12,2,65.83,Brazil,65,Louisiana Fiery Hot Pepper Sauce,2,21.05,0,2,Condiments,4.0,True,1996,1996-07
10251,22,16.8,6,0.05,100.80000000000001,5.040000000000001,95.76,VICTE,3,1996-07-08,1996-08-05,1996-07-15,1,41.34,France,22,Gustaf's Knäckebröd,5,21.0,0,5,Grains/Cereals,7.0,True,1996,1996-07
10251,57,15.6,15,0.05,234.0,11.700000000000001,222.3,VICTE,3,1996-07-08,1996-08-05,1996-07-15,1,41.34,France,57,Ravioli Angelo,5,19.5,0,5,Grains/Cereals,7.0,True,1996,1996-07
